team,pake,pase,wins,loss,w_percent,r64,r32,s16,e8,f4,f2,champ,top2,f4_percent,champ_percent,from,to
Butler,4.2,4.3,5,1,0.833,1,1,1,1,1,1,0,0,2,0,2011,2011
Connecticut,3.9,4.2,6,0,1,1,1,1,1,1,1,1,0,17,4,2011,2011
VCU,3.2,3.4,4,1,0.8,1,1,1,1,1,0,0,0,2,0,2011,2011
Kentucky,2.1,2.5,4,1,0.8,1,1,1,1,1,0,0,0,14,4,2011,2011
Arizona,1.7,1.9,3,1,0.75,1,1,1,1,0,0,0,0,5,0,2011,2011
Richmond,1.2,1.5,2,1,0.667,1,1,1,0,0,0,0,0,2,0,2011,2011
North Carolina,1.2,0.6,3,1,0.75,1,1,1,1,0,0,0,1,10,2,2011,2011
Marquette,1.1,1.4,2,1,0.667,1,1,1,0,0,0,0,0,2,0,2011,2011
Florida,1,0.6,3,1,0.75,1,1,1,1,0,0,0,1,14,2,2011,2011
Florida St.,1,1.4,2,1,0.667,1,1,1,0,0,0,0,0,3,0,2011,2011
Morehead St.,0.8,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2011,2011
Wisconsin,0.4,0.5,2,1,0.667,1,1,1,0,0,0,0,0,15,4,2011,2011
Kansas,0.3,-0.3,3,1,0.75,1,1,1,1,0,0,0,1,29,9,2011,2011
Kansas St.,0.3,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,2,0,2011,2011
UCLA,0.3,0.1,1,1,0.5,1,1,0,0,0,0,0,0,1,0,2011,2011
Temple,0.2,0.1,1,1,0.5,1,1,0,0,0,0,0,0,2,0,2011,2011
West Virginia,0.2,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,3,0,2011,2011
George Mason,0.2,0.3,1,1,0.5,1,1,0,0,0,0,0,0,2,0,2011,2011
Gonzaga,0.2,0.4,1,1,0.5,1,1,0,0,0,0,0,0,3,0,2011,2011
BYU,0.1,0.2,2,1,0.667,1,1,1,0,0,0,0,0,15,3,2011,2011
Illinois,0.1,0.4,1,1,0.5,1,1,0,0,0,0,0,0,4,0,2011,2011
Michigan,0,0.3,1,1,0.5,1,1,0,0,0,0,0,0,3,0,2011,2011
UTSA,0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Boston University,-0.1,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Northern Colorado,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Hampton,-0.1,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
UNC Asheville,-0.1,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Cincinnati,-0.1,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,4,0,2011,2011
Princeton,-0.2,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Indiana St.,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
UC Santa Barbara,-0.2,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Saint Peter's,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
LIU Brooklyn,-0.2,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Bucknell,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Akron,-0.2,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Memphis,-0.3,-0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Wofford,-0.3,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
San Diego St.,-0.3,-0.4,2,1,0.667,1,1,1,0,0,0,0,1,20,5,2011,2011
Washington,-0.3,0.1,1,1,0.5,1,1,0,0,0,0,0,0,5,1,2011,2011
Oakland,-0.3,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Tennessee,-0.4,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Georgia,-0.5,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Missouri,-0.5,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2011
Villanova,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,1,0,2011,2011
UNLV,-0.6,-0.7,0,1,0,1,0,0,0,0,0,0,0,2,0,2011,2011
Duke,-0.6,-1.3,2,1,0.667,1,1,1,0,0,0,0,1,26,7,2011,2011
Texas A&M,-0.6,-0.9,0,1,0,1,0,0,0,0,0,0,0,1,0,2011,2011
Belmont,-0.6,-0.3,0,1,0,1,0,0,0,0,0,0,0,2,0,2011,2011
Penn St.,-0.7,-0.6,0,1,0,1,0,0,0,0,0,0,0,1,0,2011,2011
Old Dominion,-0.7,-0.6,0,1,0,1,0,0,0,0,0,0,0,2,0,2011,2011
St. John's,-0.8,-1.1,0,1,0,1,0,0,0,0,0,0,0,2,0,2011,2011
Georgetown,-0.8,-1.1,0,1,0,1,0,0,0,0,0,0,0,2,0,2011,2011
Vanderbilt,-0.8,-1.1,0,1,0,1,0,0,0,0,0,0,0,2,0,2011,2011
